"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.615916659E-3,-3.320395203E0,5.490881653E0,8.164471893E0
1.265791670E-2,-3.256029053E0,5.312602386E0,8.082442474E0
2.269991668E-2,-3.167563019E0,5.289250946E0,8.081394653E0
3.274191666E-2,-3.135529633E0,5.414989471E0,8.212222595E0
4.278391670E-2,-3.227588196E0,5.484445038E0,8.333171082E0
5.282591667E-2,-3.349883881E0,5.517226868E0,8.529862061E0
6.286791665E-2,-3.418141937E0,5.665568390E0,8.442743225E0
7.290991669E-2,-3.466790771E0,5.888005829E0,8.334518280E0
8.295191667E-2,-3.433559875E0,6.005062408E0,8.189918976E0
9.299391665E-2,-3.201692047E0,5.810916138E0,8.142018585E0
1.030359167E-1,-3.049757996E0,5.752836914E0,8.600814514E0
1.130779167E-1,-3.166664886E0,6.055507507E0,8.700357513E0
1.231199167E-1,-2.913690948E0,5.942342834E0,8.223598938E0
1.331619167E-1,-2.571053467E0,5.609135742E0,8.541088715E0
1.432039167E-1,-2.297721863E0,5.359454956E0,8.500972137E0
1.532459167E-1,-2.001038818E0,5.185666351E0,9.078620911E0
1.632879167E-1,-1.851649475E0,5.228327637E0,1.006956024E1
1.733299167E-1,-1.166673889E0,4.912783813E0,9.103618927E0
1.833719167E-1,-8.455915833E-1,4.605023804E0,7.602839813E0
1.934139167E-1,-5.168751526E-1,4.762047272E0,6.729106750E0
2.034559167E-1,-5.715115356E-1,4.586462402E0,6.574627991E0
2.134979167E-1,-1.020877075E0,4.336781616E0,7.024143219E0
2.235399167E-1,-1.082249451E0,4.468956757E0,7.718399506E0
2.335819167E-1,-1.063388672E0,4.579127655E0,8.119265900E0
2.436239167E-1,-1.147663422E0,4.496649170E0,8.226892090E0
2.536659167E-1,-1.616338806E0,4.538412323E0,9.012159119E0
2.637079167E-1,-1.579515381E0,4.638703766E0,9.053024139E0
2.737489167E-1,-1.190474396E0,4.337080994E0,9.637558594E0
2.837909167E-1,-9.547146606E-1,3.412304077E0,9.512568512E0
2.938329166E-1,-1.103505249E0,2.127675476E0,8.502319336E0
3.038749167E-1,-2.331551514E0,2.153871002E0,8.327931976E0
3.139169167E-1,-1.229842529E0,3.807182922E0,9.398056641E0
3.239589167E-1,1.789678345E0,5.092260590E0,9.454788666E0
3.340009167E-1,2.891387329E0,5.154980164E0,9.864486694E0
3.440429167E-1,2.853216705E0,3.074905701E0,1.038974442E1
3.540849167E-1,2.838696899E0,1.132544861E0,1.017269577E1
3.641269167E-1,3.168311462E0,1.232985992E0,1.043045975E1
3.741689167E-1,3.890858917E0,2.419718170E0,1.074884766E1
3.842109167E-1,4.777016144E0,3.598666534E0,1.032807266E1
3.942529167E-1,5.032983856E0,3.435056763E0,7.793393555E0
4.042949167E-1,5.308411102E0,1.694027252E0,6.309529266E0
4.143369167E-1,4.398303680E0,-1.796264648E-1,6.152954865E0
4.243789167E-1,-5.653742981E-1,1.776954803E0,7.389683075E0
4.344209167E-1,-2.240091705E0,4.453239441E0,8.072113953E0
4.444629167E-1,-1.263522491E0,3.850742340E0,6.852001190E0
4.545049167E-1,1.964365082E0,1.564247131E-1,8.012537842E0
4.645469167E-1,2.762355652E0,1.482666779E0,1.071546707E1
4.745889167E-1,2.885998535E0,1.411564636E0,9.369466095E0
4.846309167E-1,2.777773590E0,1.181642761E0,9.237889709E0
4.946729167E-1,3.139271851E0,1.072519684E0,9.571695557E0
