"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.176250172E-4,-1.760788422E0,5.297633514E0,7.845036163E0
9.424375021E-3,-1.598974915E0,5.482050018E0,7.721842346E0
1.946637500E-2,-1.547481995E0,5.535937958E0,7.676786041E0
2.950837504E-2,-1.353635101E0,5.467530212E0,8.542884979E0
3.955037502E-2,-1.093326416E0,5.121150513E0,8.723858643E0
4.959237500E-2,-8.738827515E-1,4.835993500E0,8.750952301E0
5.963437504E-2,-7.214996338E-1,4.853507080E0,8.854087830E0
6.967637502E-2,-5.659730530E-1,4.933590546E0,8.659492493E0
7.971837500E-2,-5.433700562E-1,4.980742493E0,8.429869995E0
8.976037503E-2,-6.138734436E-1,5.038522339E0,8.133785706E0
9.980337502E-2,-7.987390137E-1,5.042713623E0,7.894882507E0
1.098453750E-1,-9.165440369E-1,4.920118561E0,7.610324249E0
1.198873750E-1,-1.060694275E0,4.947511597E0,7.586673431E0
1.299293750E-1,-1.185684357E0,5.000052338E0,7.633825378E0
1.399713750E-1,-1.080004120E0,5.066065063E0,8.109236755E0
1.500133750E-1,-1.228645020E0,4.811743927E0,8.904233551E0
1.600553750E-1,-1.352736969E0,4.459226990E0,9.869576111E0
1.700973750E-1,-1.131197662E0,4.108656006E0,9.243428192E0
1.801393750E-1,-8.430468750E-1,3.938010864E0,8.480913849E0
1.901813750E-1,-9.009764099E-1,4.086502075E0,8.750652924E0
2.002233750E-1,-1.137484589E0,4.345912628E0,8.876690826E0
2.102653750E-1,-1.387315063E0,4.462819519E0,8.744515686E0
2.203073750E-1,-1.450483704E0,4.449197845E0,8.478668518E0
2.303493750E-1,-1.298250275E0,4.558769989E0,8.193960571E0
2.403913750E-1,-1.133143616E0,4.717889099E0,8.147706757E0
2.504343750E-1,-1.166374512E0,4.812791748E0,8.132438507E0
2.604763750E-1,-1.387015686E0,4.719535675E0,8.464448090E0
2.705183750E-1,-1.501078491E0,4.525239716E0,8.982820129E0
2.805603750E-1,-1.363664246E0,4.301604767E0,8.590485992E0
2.906023750E-1,-1.034947815E0,4.106260986E0,8.394543457E0
3.006443750E-1,-7.096742249E-1,3.984863434E0,8.331674194E0
3.106863750E-1,-4.671784973E-1,3.817361755E0,7.860454102E0
3.207283750E-1,-5.569917297E-1,4.005221100E0,7.736062775E0
3.307703750E-1,-7.044351196E-1,4.062701569E0,7.840695190E0
3.408123750E-1,-5.551954651E-1,3.552412720E0,6.989265747E0
3.508543750E-1,-4.643344116E-1,3.400927734E0,8.023914185E0
3.608963750E-1,-5.278024292E-1,3.539389801E0,9.249864807E0
3.709393750E-1,-7.325765991E-1,3.636986847E0,9.461973724E0
3.809813750E-1,-7.744894409E-1,3.491190033E0,8.818910980E0
3.910233750E-1,-7.014413452E-1,3.177741852E0,8.292006683E0
4.010653750E-1,-5.345384216E-1,2.961441650E0,9.011111298E0
4.111073750E-1,-2.341131592E-1,2.750380554E0,9.384285278E0
4.211493750E-1,1.347198486E-2,2.765499115E0,8.647667084E0
4.311913750E-1,2.740800476E-1,3.086731110E0,8.835676117E0
4.412333750E-1,7.191046143E-1,3.264561310E0,8.980425110E0
4.512753750E-1,1.537003784E0,3.197500763E0,7.757468262E0
4.613173750E-1,5.710924072E0,4.432432709E0,7.414381714E0
4.713593750E-1,3.013683014E0,3.123105469E0,1.405382492E1
4.814013750E-1,1.810036011E0,1.083147583E0,1.058643539E1
4.914433750E-1,1.575473785E0,2.484533386E0,9.357940063E0
5.014863750E-1,1.356030121E0,3.480113068E0,8.208181000E0
5.115283750E-1,8.993298340E-1,3.239413605E0,6.539151764E0
5.215703750E-1,1.091081085E0,2.411335602E0,3.155587921E0
5.316123750E-1,1.427880707E0,2.359543304E0,4.237388306E0
5.416543750E-1,2.034718781E0,3.068319397E0,7.126530304E0
5.516963750E-1,2.352807312E0,2.287543030E0,4.637955322E0
5.617383750E-1,2.061812439E0,2.210603027E0,2.286944275E0
5.717803750E-1,1.314865723E0,2.333796844E0,4.231400757E0
5.818223750E-1,1.588197327E-1,1.843566284E0,5.397026825E0
5.918643750E-1,-9.190887451E-1,1.418450317E0,5.008135529E0
6.019063750E-1,-1.014739838E0,7.768844604E-1,9.289232941E0
6.119483750E-1,-9.074130249E-1,-1.749861145E0,2.558090424E1
6.219903750E-1,-3.667373657E0,-2.722538452E0,2.257665161E1
6.320333750E-1,-2.669698334E0,-1.137634277E-1,1.149609375E1
6.420753750E-1,-1.619332581E0,2.634820862E0,9.967322845E0
6.521173750E-1,-1.717827759E0,3.721710663E0,9.958940277E0
6.621593750E-1,-1.708397369E0,3.451372833E0,1.077863571E1
6.722013750E-1,-1.948198700E0,2.788850555E0,1.067325485E1
6.822433750E-1,-2.236798553E0,2.428100739E0,1.033765274E1
6.922853750E-1,-2.743943939E0,2.911295929E0,9.713600464E0
7.023273750E-1,-3.079396362E0,2.290836182E0,9.571096802E0
7.123693750E-1,-3.161874847E0,1.119222565E0,9.621990967E0
7.224113750E-1,-3.186423798E0,3.363505554E-1,9.751322021E0
7.324533750E-1,-3.412154388E0,1.737886047E-1,9.233698425E0
7.424963750E-1,-3.287014618E0,1.029858398E-1,9.499395905E0
7.525383750E-1,-2.162702637E0,2.447410583E-1,9.402247925E0
7.625803750E-1,-2.624342651E0,9.660910034E-1,7.282655640E0
7.726223750E-1,-2.899919586E0,2.921923828E-1,9.013356628E0
7.826643750E-1,-2.866239624E0,-4.071533203E-2,1.282667679E1
7.927063750E-1,-2.512225800E0,8.406518555E-1,1.211445786E1
8.027483750E-1,-2.523751831E0,1.150956573E0,1.093491074E1
8.127903750E-1,-3.080444183E0,1.748513947E0,1.082324295E1
8.228323750E-1,-3.741619263E0,2.528841248E0,1.080632812E1
8.328743750E-1,-3.959566040E0,2.426454163E0,1.033705399E1
8.429163750E-1,-3.674858093E0,1.204245758E0,9.461374969E0
8.529589167E-1,-3.245101776E0,-2.824626160E-1,8.871751099E0
8.630009167E-1,-2.369572449E0,-1.179547119E0,8.319100342E0
8.730429167E-1,-2.101779327E0,-2.009720764E0,7.268884277E0
8.830849167E-1,-2.527494049E0,-2.830164642E0,6.876400452E0
8.931269167E-1,-3.151396637E0,-2.522554321E0,7.755222931E0
9.031689167E-1,-3.707490234E0,-1.691632233E0,8.481961670E0
9.132109167E-1,-4.003125458E0,-1.134490814E0,8.358767853E0
9.232529167E-1,-4.251608734E0,-9.301657104E-1,8.446934509E0
9.332949167E-1,-4.338428192E0,-8.086184692E-1,8.852590942E0
9.433369167E-1,-4.271966400E0,-9.307644653E-1,9.119485931E0
9.533799167E-1,-4.054319000E0,-9.898915100E-1,9.611961823E0
9.634219167E-1,-3.758683777E0,-1.209484863E0,9.950108643E0
9.734639167E-1,-3.814817047E0,-1.465302887E0,1.057116714E1
9.835059167E-1,-3.992796936E0,-3.550616455E-1,9.680668945E0
9.935479167E-1,-4.447401581E0,1.170865173E0,8.838969269E0
1.003589917E0,-4.727469177E0,1.693428497E0,8.541238403E0
1.013631917E0,-4.917573853E0,1.764380951E0,7.999664612E0
1.023673917E0,-5.025499420E0,7.179071045E-1,8.139024811E0
1.033715917E0,-4.807852020E0,-8.232879639E-1,8.695417786E0
1.043757917E0,-4.330794067E0,-1.902393951E0,8.644373932E0
1.053799917E0,-4.082759857E0,-2.798280945E0,8.605903931E0
1.063841917E0,-4.161047058E0,-3.401676178E0,8.665330353E0
1.073884917E0,-4.292473755E0,-3.796405334E0,9.093889160E0
1.083926917E0,-4.405339050E0,-4.048481140E0,9.572593689E0
1.093968917E0,-4.723577271E0,-4.020639038E0,9.409283295E0
1.104010917E0,-5.198539581E0,-3.988755341E0,9.619745636E0
1.114052917E0,-5.940696259E0,-3.733236694E0,9.482481079E0
1.124094917E0,-7.051236877E0,-3.574416962E0,8.217611389E0
1.134136917E0,-7.056326294E0,-3.734134827E0,7.631580048E0
1.144178917E0,-6.584956512E0,-4.229903870E0,6.820267181E0
1.154220917E0,-6.317911835E0,-5.176834717E0,7.179220734E0
1.164262917E0,-5.784570923E0,-5.170847168E0,7.554640045E0
1.174305917E0,-5.769452362E0,-4.304448853E0,7.486681366E0
1.184347917E0,-6.768923950E0,-2.867137756E0,8.601113892E0
1.194389917E0,-7.989485779E0,-5.917195129E-1,1.068343369E1
1.204431917E0,-8.598120117E0,2.158511353E0,8.973389740E0
1.214473917E0,-8.913364563E0,2.570005646E0,7.554490356E0
1.224515917E0,-9.765542450E0,-1.167721710E0,8.809929657E0
1.234557917E0,-1.023017624E1,-5.475763092E0,7.794890442E0
1.244599917E0,-9.802665253E0,-7.840994568E0,5.265450439E0
1.254641917E0,-8.929081879E0,-7.659871216E0,2.962339783E0
1.264683917E0,-8.460855560E0,-6.655459900E0,2.317929840E0
1.274725917E0,-8.666527863E0,-5.565426636E0,4.079616394E0
1.284768917E0,-8.786578217E0,-4.614603882E0,6.782994690E0
