"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.501774833E0,-1.845811615E0,-1.433479065E1,-5.591622162E0
3.511816833E0,-1.606010284E0,-8.084538116E0,-6.207591248E0
3.521857833E0,-1.736987915E0,-4.282893677E0,-7.009174347E0
3.531899833E0,-2.400558014E0,-2.008373566E0,-6.575226746E0
3.541941833E0,-4.153712311E0,-1.578168182E0,-5.415737915E0
3.551983833E0,-7.069349213E0,-3.298241272E0,-4.323459320E0
3.562025833E0,-9.563911743E0,-6.542893982E0,-2.070045319E0
3.572067833E0,-1.057101746E1,-1.035905823E1,-2.579136658E-1
3.582108833E0,-1.042761566E1,-1.408106827E1,-1.310375061E0
3.592150833E0,-9.226513367E0,-1.781565216E1,-4.390968933E0
3.602192833E0,-7.184310150E0,-1.937989929E1,-3.079845428E0
3.612234833E0,-4.259542236E0,-1.525058624E1,3.177442474E0
3.622276833E0,-2.448907471E0,-1.003917343E1,6.386918335E0
3.632318833E0,-1.999841309E0,-6.968309326E0,5.169949036E0
3.642359833E0,-1.853146362E0,-5.019960938E0,3.497327271E0
3.652401833E0,-1.671424255E0,-3.888314209E0,2.100581818E0
3.662443833E0,-1.626517639E0,-3.147055664E0,1.007405090E0
3.672485833E0,-1.816023560E0,-3.287014618E0,6.852749634E-1
3.682527833E0,-2.408940582E0,-4.365821228E0,8.946894836E-1
3.692569833E0,-3.113974457E0,-5.878276062E0,1.507664795E0
3.702610833E0,-3.370989990E0,-7.521858215E0,2.505190430E0
3.712652833E0,-3.305576019E0,-9.539063416E0,3.708687744E0
3.722694833E0,-2.977907410E0,-1.154803574E1,4.231550446E0
3.732736833E0,-1.745520172E0,-1.339564362E1,2.802472229E0
3.742778833E0,-4.082011414E-1,-1.461590607E1,2.365081787E-1
3.752820833E0,1.380130005E-1,-1.465048416E1,-1.859882355E0
3.762861833E0,1.793270874E-1,-1.358814331E1,-3.493435364E0
3.772903833E0,1.872605896E-1,-1.170401138E1,-4.031865692E0
3.782945833E0,3.562591553E-2,-9.459129639E0,-3.517385559E0
3.792987833E0,-3.885919189E-1,-7.912845154E0,-2.071542206E0
3.803029833E0,-1.026565247E0,-7.410639496E0,-4.523593140E-1
3.813071833E0,-1.626068573E0,-7.374714203E0,5.676196289E-1
3.823112833E0,-2.016307068E0,-7.537276154E0,9.376501465E-1
3.833154833E0,-2.151475983E0,-7.590415649E0,7.267387390E-1
3.843196833E0,-2.176923065E0,-7.751331024E0,4.302053833E-1
3.853238833E0,-2.243534546E0,-8.091573486E0,3.676354980E-1
3.863280833E0,-2.211052094E0,-8.262218628E0,3.772155762E-1
3.873322833E0,-2.005828857E0,-8.391998749E0,7.728428650E-1
3.883363833E0,-1.796114960E0,-8.506809998E0,1.100661163E0
3.893405833E0,-1.676663361E0,-8.539741516E0,9.994715881E-1
3.903447833E0,-1.651815033E0,-8.553662567E0,6.688092041E-1
3.913489833E0,-1.657054138E0,-8.528065796E0,2.845582581E-1
3.923531833E0,-1.769620056E0,-8.578660583E0,-7.918533325E-2
3.933573833E0,-1.964215393E0,-8.750802612E0,-2.830613708E-1
3.943614833E0,-2.245181122E0,-8.861422577E0,-4.778063965E-1
3.953656833E0,-2.593506775E0,-8.919501801E0,-7.707472229E-1
3.963698833E0,-2.849923553E0,-8.988059235E0,-9.424401855E-1
3.973740833E0,-3.010988617E0,-9.006620636E0,-1.109492798E0
3.983782833E0,-3.246748352E0,-9.199419708E0,-1.397493896E0
3.993824833E0,-3.506458282E0,-9.696985016E0,-1.697470093E0
4.003865833E0,-3.648063812E0,-1.032627640E1,-1.722318420E0
4.013907833E0,-3.625161438E0,-1.075423645E1,-1.359772339E0
4.023949833E0,-3.424728241E0,-1.088446564E1,-7.448510742E-1
4.033991833E0,-2.982847137E0,-1.087278992E1,-1.056802368E-1
4.044033833E0,-2.223027191E0,-1.094000015E1,4.646337891E-1
4.054075833E0,-1.194366302E0,-1.116513199E1,8.675958252E-1
4.064116833E0,-1.184037781E-1,-1.160162430E1,1.002165985E0
4.074158833E0,8.102650452E-1,-1.213331863E1,8.472381592E-1
4.084200833E0,1.444196777E0,-1.257998978E1,6.306385803E-1
4.094242833E0,1.727108459E0,-1.312814987E1,5.093907166E-1
4.104284833E0,1.659000092E0,-1.391491379E1,3.610491943E-1
4.114326833E0,1.338815918E0,-1.488115448E1,4.939727783E-3
4.124367833E0,8.887019348E-1,-1.565220108E1,-6.125262451E-1
4.134409833E0,3.344046021E-1,-1.592343704E1,-1.610051880E0
4.144451833E0,-3.689826965E-1,-1.548754349E1,-2.691702576E0
4.154493833E0,-1.212927704E0,-1.448762283E1,-3.212319946E0
4.164535833E0,-2.003733215E0,-1.319880295E1,-2.640958099E0
4.174577833E0,-2.580034790E0,-1.194665680E1,-1.481469269E0
4.184618833E0,-3.057242432E0,-1.082698517E1,2.363584900E-1
4.194660833E0,-3.583248596E0,-9.893526306E0,1.473236389E0
4.204702833E0,-3.955225067E0,-9.531728668E0,2.102677460E0
4.214744833E0,-4.415068817E0,-9.186247101E0,1.757794647E0
4.224786833E0,-5.174290009E0,-9.054071960E0,6.321354675E-1
4.234828833E0,-6.115832062E0,-9.862840118E0,-7.864645386E-1
4.244869833E0,-7.169940033E0,-1.123219254E1,-1.488354950E0
4.254911833E0,-8.133037262E0,-1.253732849E1,-1.927391968E0
4.264953833E0,-8.854087830E0,-1.337453751E1,-2.651136932E0
4.274995833E0,-9.061706085E0,-1.317844528E1,-2.716251526E0
4.285037833E0,-8.381221161E0,-1.200114349E1,-2.023941193E0
4.295079833E0,-7.022047577E0,-1.085333038E1,-1.057550812E0
4.305120833E0,-5.600603485E0,-1.013931519E1,1.577719116E0
4.315162833E0,-3.730991364E0,-9.708211670E0,4.863087158E0
4.325204833E0,-1.973945160E0,-9.313482513E0,4.569547577E0
4.335246833E0,-9.048683167E-1,-8.889264679E0,2.558180237E0
4.345288833E0,2.245330811E-2,-8.472231903E0,7.417076111E-1
4.355330833E0,9.214837646E-1,-8.310418396E0,-6.294410706E-1
4.365371833E0,1.617985382E0,-8.437653809E0,-1.257534943E0
4.375413833E0,1.967358856E0,-8.554710388E0,-9.473799133E-1
4.385455833E0,1.731000366E0,-8.408614197E0,1.062789917E-1
4.395497833E0,7.590715027E-1,-7.799830170E0,1.563498688E0
4.405539833E0,-3.526666260E-1,-6.893464966E0,2.587519226E0
4.415578208E0,-1.390907593E0,-6.074368286E0,2.139201508E0
4.425619208E0,-2.259551239E0,-5.730233917E0,6.846762085E-1
4.435661208E0,-2.902164917E0,-5.452411652E0,-2.944377136E-1
4.445703208E0,-3.455115051E0,-4.840933228E0,-5.959107971E-1
4.455745208E0,-3.946094055E0,-4.010609894E0,-3.417393494E-1
4.465787208E0,-4.234693909E0,-3.100652161E0,-2.432441711E-1
4.475829208E0,-4.281396790E0,-2.268682251E0,-3.748205566E-1
4.485870208E0,-4.162094879E0,-1.567540283E0,-7.454498291E-1
4.495912208E0,-3.946543121E0,-9.461824036E-1,-1.009800110E0
4.505954208E0,-3.622017975E0,-3.942800903E-1,-1.151555328E0
4.515996208E0,-3.187920685E0,-1.544787598E-1,-1.594933319E0
4.526038208E0,-2.692301331E0,-5.351371765E-1,-2.164648590E0
4.536080208E0,-2.176174622E0,-1.283730469E0,-2.390528870E0
4.546121208E0,-1.727557526E0,-2.155667267E0,-2.684068451E0
4.556163208E0,-1.543141022E0,-3.549269257E0,-3.680546265E0
4.566205208E0,-1.696871338E0,-5.897885284E0,-5.434299316E0
4.576247208E0,-1.652563477E0,-9.566755829E0,-8.584797821E0
4.586289208E0,-8.346643066E-1,-1.517035309E1,-1.424407928E1
4.596331208E0,3.083587646E-1,-2.222218872E1,-1.811996933E1
4.606372208E0,9.068142700E-1,-2.793954941E1,-1.595591949E1
4.616414208E0,1.368304596E0,-2.939108093E1,-9.470206604E0
4.626456208E0,2.163002014E0,-2.557806015E1,-5.841003571E0
4.636498208E0,1.539847870E0,-1.673010956E1,-5.820496216E0
4.646540208E0,3.393443298E-1,-9.713899841E0,-5.339097290E0
4.656582208E0,-7.002438354E-1,-5.345384216E0,-4.907694397E0
