"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.003893917E0,-1.740879822E-1,-1.132200577E1,-1.544188843E0
3.013835917E0,8.232879639E-3,-8.987460480E0,-1.306782532E-1
3.023777917E0,6.738986206E-1,-8.009394379E0,-1.960922241E-2
3.033719917E0,9.089099121E-1,-8.326884155E0,-1.094074860E0
3.043662917E0,1.248553619E0,-9.362131348E0,-1.565744019E0
3.053604917E0,1.297950897E0,-1.116079102E1,-1.512454834E0
3.063546917E0,1.164578247E0,-1.330642914E1,-1.399739227E0
3.073488917E0,1.143621826E0,-1.596085922E1,-1.259181519E0
3.083430917E0,8.104147339E-1,-1.753019577E1,-1.058448944E0
3.093372917E0,2.600093079E-1,-1.707708801E1,-8.077203369E-1
3.103314917E0,8.202941895E-2,-1.506377472E1,-5.770500183E-1
3.113256917E0,5.502557373E-1,-1.188558380E1,-3.674858093E-1
3.123198917E0,2.243983612E0,-1.079420334E1,-1.808239746E-1
3.133140917E0,2.933300171E0,-1.096170502E1,3.126997375E-1
3.143083917E0,2.610271912E0,-1.128817612E1,5.632786560E-1
3.153025917E0,1.729204102E0,-1.135373978E1,6.930587769E-1
3.162967917E0,-3.038681030E-2,-1.128952332E1,7.765850830E-1
3.172909917E0,-1.807191925E0,-1.025652145E1,4.087998962E-1
3.182851917E0,-2.355801086E0,-9.880952454E0,6.146218872E-1
3.192793917E0,-2.287992096E0,-1.024993515E1,1.516945496E0
3.202735917E0,-1.851799164E0,-1.051233948E1,2.204016724E0
3.212677917E0,-1.389859772E0,-1.018916153E1,2.184108124E0
3.222619917E0,-8.824150085E-1,-1.022688309E1,1.660197601E0
3.232561917E0,-5.062472534E-1,-1.063478485E1,1.340462494E0
3.242503917E0,-1.695973206E-1,-1.044497955E1,1.508712616E0
3.252446917E0,4.276606750E-1,-1.054093002E1,2.064806213E0
3.262388917E0,1.297801208E0,-1.092787537E1,2.748883667E0
3.272330917E0,1.705253906E0,-1.126856689E1,2.856809235E0
3.282272917E0,1.691482544E0,-1.133233429E1,2.264191589E0
3.292214917E0,1.375190277E0,-1.123413849E1,1.104403381E0
3.302156917E0,7.789801025E-1,-1.062804886E1,-8.701405334E-1
3.312098917E0,1.393601990E-1,-9.078770599E0,-2.523153076E0
3.322040917E0,-7.518864441E-1,-9.067394257E0,-1.295106812E0
3.331982917E0,-1.935924225E0,-9.708061981E0,3.863465881E-1
3.341924917E0,-2.122885437E0,-9.896520081E0,4.237687683E-1
3.351867917E0,-1.643582153E0,-8.241860962E0,-3.417393494E-1
3.361809917E0,-1.092428284E0,-8.510103149E0,6.137237549E-1
3.371751917E0,-3.435356140E-1,-8.669072571E0,1.267414398E0
3.381693917E0,-2.095642090E-2,-8.247549133E0,1.082399139E0
3.391635917E0,8.966354370E-2,-7.794591064E0,8.725355530E-1
3.401577917E0,-8.831634521E-3,-7.586224365E0,1.048120422E0
3.411519917E0,-7.649093628E-2,-7.532336426E0,1.201251984E0
3.421461917E0,-4.610412598E-2,-7.559130707E0,1.461560669E0
3.431403917E0,2.499801636E-2,-7.746391296E0,1.742526398E0
3.441346917E0,1.227447510E-1,-7.982450409E0,2.149380341E0
3.451288917E0,2.053729248E-1,-8.194709015E0,2.740800476E0
3.461230917E0,1.589694214E-1,-8.378975830E0,3.558400269E0
3.471172917E0,7.559280396E-2,-8.563841400E0,4.140839081E0
3.481114917E0,-4.131408691E-2,-8.754395142E0,4.600982208E0
3.491056917E0,-2.237846375E-1,-8.840466156E0,4.486021271E0
3.500998917E0,-4.433779907E-1,-8.816815338E0,4.082909546E0
3.510940917E0,-6.996450806E-1,-8.794362030E0,3.898642731E0
3.520882917E0,-8.858578491E-1,-8.646918640E0,3.691024475E0
3.530824917E0,-1.126707001E0,-8.470585327E0,3.577859802E0
3.540766917E0,-1.438209229E0,-8.292605438E0,3.461401978E0
3.550709917E0,-1.769320679E0,-8.134833527E0,3.448828125E0
3.560651917E0,-2.240989838E0,-8.117918701E0,3.623065796E0
3.570593917E0,-2.680475922E0,-8.197104034E0,3.723656616E0
3.580535917E0,-3.029999084E0,-8.202642517E0,3.656596069E0
3.590477917E0,-3.183130646E0,-8.196355591E0,3.818409576E0
3.600419917E0,-3.135978699E0,-8.189918976E0,4.144880676E0
3.610361917E0,-2.989283752E0,-8.224347382E0,4.414020996E0
3.620303917E0,-2.832110596E0,-8.252788239E0,4.537963257E0
3.630245917E0,-2.687810669E0,-8.272547150E0,4.637356567E0
3.640187917E0,-2.615511017E0,-8.369844818E0,4.686005402E0
3.650130917E0,-2.593955841E0,-8.488997040E0,4.723427582E0
3.660072917E0,-2.452050934E0,-8.608149261E0,4.918172607E0
3.670014917E0,-2.279908905E0,-8.757538605E0,5.200036469E0
3.679956917E0,-2.214045868E0,-8.791218567E0,5.431904297E0
3.689898917E0,-2.300266571E0,-8.815617828E0,5.490282898E0
3.699840917E0,-2.279459839E0,-8.773555298E0,5.249583435E0
3.709782917E0,-1.823657684E0,-8.832682343E0,4.909340973E0
3.719724875E0,-4.655319214E-1,-9.567204895E0,4.173620911E0
3.729666875E0,1.770667877E0,-1.129116989E1,2.860102386E0
3.739608875E0,4.035308533E0,-1.333966003E1,2.755919037E0
3.749551875E0,5.416486359E0,-1.479194000E1,4.153712311E0
3.759493875E0,5.309458923E0,-1.528725998E1,5.336552582E0
3.769435875E0,3.563190308E0,-1.538126450E1,5.773044891E0
3.779377875E0,1.123563538E0,-1.463057556E1,4.559368744E0
3.789319875E0,-4.293072510E-1,-1.264660126E1,1.288221130E0
3.799261875E0,2.306703186E-1,-9.787097626E0,-2.228565674E0
3.809203875E0,2.562371521E0,-6.876849518E0,-3.308120728E0
3.819145875E0,4.878056030E0,-4.749922485E0,-2.052232361E0
3.829087875E0,6.180347900E0,-3.706592102E0,-5.694158936E-1
3.839030875E0,5.955814819E0,-4.302053833E0,-5.339396667E-1
3.848972875E0,3.539389801E0,-6.171965332E0,-1.237326965E0
3.858914875E0,1.167572021E-1,-8.627159729E0,-2.160756683E0
3.868856875E0,-2.904709625E0,-1.070034851E1,-3.323239288E0
3.878798875E0,-4.784650269E0,-1.194875244E1,-3.897295532E0
3.888740875E0,-4.751119995E0,-1.230800537E1,-3.502566376E0
