"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.905140625E0,-2.365979919E0,2.561623077E0,1.811532898E0
2.915184625E0,-1.985171814E0,1.581760712E0,-1.345851288E0
2.925227625E0,5.284011841E-2,-1.716330872E0,-4.148323517E0
2.935270625E0,9.608518982E-1,-4.510121155E0,-4.253255310E0
2.945313625E0,3.770658875E-1,-6.490951996E0,-2.305355988E0
2.955356625E0,-6.331832886E-2,-8.117319946E0,-1.770817566E-1
2.965400625E0,-1.541793823E-1,-9.528136139E0,1.541943512E0
2.975443625E0,3.269201660E-1,-1.203647003E1,3.496578827E0
2.985486625E0,5.074447632E-1,-1.414588348E1,5.965095520E0
2.995529625E0,6.141728210E-1,-1.444675781E1,6.983278198E0
3.005573625E0,1.006506958E0,-1.279045212E1,4.858895874E0
3.015616625E0,1.182690582E0,-1.041085052E1,1.652114410E0
3.025659625E0,1.414109344E0,-8.746910706E0,-1.470242615E0
3.035702625E0,1.669029236E0,-8.112679596E0,-3.676205292E0
3.045746625E0,1.714384918E0,-8.420888672E0,-4.150119781E0
3.055789625E0,1.471739502E0,-8.993597717E0,-3.477568359E0
3.065832625E0,1.307680664E0,-9.568402405E0,-2.004781036E0
3.075875625E0,1.265169067E0,-9.667646027E0,-2.625540161E-1
3.085918625E0,1.274150391E0,-9.208401031E0,9.111552429E-1
3.095962625E0,1.269060974E0,-8.712033234E0,1.673220520E0
3.106005625E0,1.440903625E0,-8.518785095E0,1.919608154E0
3.116048625E0,1.740281067E0,-8.690028992E0,1.606459351E0
3.126091625E0,2.120340729E0,-9.021739197E0,1.111588440E0
3.136135625E0,2.299218750E0,-9.491761780E0,4.495152283E-1
3.146178625E0,2.262395325E0,-9.837542725E0,-2.912942505E-1
3.156221625E0,1.861379242E0,-9.940229187E0,-1.045575714E0
3.166264625E0,1.279539185E0,-9.610165558E0,-1.314865723E0
3.176307625E0,5.905220032E-1,-9.009315033E0,-7.324269104E-1
3.186351625E0,-2.086660767E-1,-8.478668518E0,2.499801636E-1
3.196394625E0,-9.455836487E-1,-8.093220062E0,1.251846771E0
3.206438417E0,-1.588496704E0,-7.746540985E0,2.203118591E0
3.216481417E0,-2.007924500E0,-7.572303314E0,2.933300171E0
3.226525417E0,-2.032174072E0,-7.616012421E0,2.959196320E0
3.236568417E0,-1.676214294E0,-7.927065582E0,2.117346954E0
3.246611417E0,-1.042132874E0,-8.572523346E0,7.039860535E-1
3.256654417E0,-3.531156921E-1,-9.355245667E0,-5.352868652E-1
3.266697417E0,1.995350647E-1,-1.011267059E1,-8.759783936E-1
3.276741417E0,5.378315735E-1,-1.090482330E1,-3.183879089E-1
3.286784417E0,6.819818115E-1,-1.170655609E1,6.017486572E-1
3.296827417E0,6.730004883E-1,-1.221025864E1,1.177750854E0
3.306870417E0,6.349795532E-1,-1.232566864E1,1.178050232E0
3.316914417E0,7.595205688E-1,-1.215472412E1,7.653584290E-1
3.326957417E0,1.098415833E0,-1.205368423E1,4.231700134E-1
3.337000417E0,1.480870514E0,-1.209170517E1,3.923341370E-1
3.347043417E0,1.988015900E0,-1.226654160E1,3.966751099E-1
3.357087417E0,2.597847748E0,-1.263118332E1,2.095642090E-1
3.367130417E0,3.040776672E0,-1.293190796E1,-3.588038635E-1
3.377173417E0,3.157982941E0,-1.285856049E1,-1.188827820E0
3.387216417E0,3.116968231E0,-1.248373993E1,-1.909579010E0
3.397259417E0,3.210074615E0,-1.215981354E1,-2.201172638E0
3.407303417E0,3.641477509E0,-1.234527786E1,-1.761836243E0
3.417346417E0,4.264481964E0,-1.346839233E1,-7.963439941E-2
3.427389417E0,4.927004242E0,-1.482981125E1,2.243833923E0
3.437432417E0,5.391188965E0,-1.533441193E1,3.778742065E0
3.447475417E0,5.355862427E0,-1.496198639E1,4.390220490E0
3.457519417E0,4.686604156E0,-1.397164581E1,3.976480865E0
3.467562417E0,2.905009003E0,-1.249451752E1,2.493215332E0
3.477605417E0,1.646575928E-1,-1.064750839E1,9.690847778E-1
3.487648417E0,-2.380948792E0,-9.610315247E0,1.032852173E-1
3.497692417E0,-3.979025574E0,-1.004590942E1,-1.212478638E-1
3.507735417E0,-4.536316681E0,-1.193587921E1,1.654060364E-1
3.517778417E0,-4.313130798E0,-1.428269897E1,1.277892609E0
3.527821417E0,-3.609444122E0,-1.591280914E1,2.484533386E0
3.537864417E0,-3.217409363E0,-1.634540955E1,2.991379395E0
3.547908417E0,-3.312312012E0,-1.588796082E1,3.497327271E0
3.557951417E0,-3.417393494E0,-1.494851440E1,4.943619690E0
3.567994417E0,-3.092868347E0,-1.353186035E1,6.849007416E0
3.578037417E0,-2.703827362E0,-1.162168259E1,7.207811279E0
3.588081417E0,-2.519710236E0,-9.729766846E0,4.161496124E0
3.598124417E0,-2.167342987E0,-7.939040680E0,1.207987976E-1
3.608167417E0,-1.298250275E0,-7.215146027E0,-2.295626221E0
3.618210417E0,-1.474433899E-1,-7.518115997E0,-2.903063049E0
3.628253417E0,9.089099121E-1,-7.982300720E0,-2.384840698E0
3.638297417E0,1.423390045E0,-8.323591003E0,-6.057902527E-1
3.648340417E0,9.843530273E-1,-8.042475586E0,1.267414398E0
3.658383417E0,2.679428101E-1,-7.137307892E0,2.201621704E0
3.668426417E0,-4.182302856E-1,-6.271358643E0,2.223027191E0
3.678470417E0,-6.821315002E-1,-5.772146759E0,1.644779663E0
3.688513417E0,-7.926017761E-1,-5.569617920E0,1.262624359E0
3.698556417E0,-8.671467590E-1,-5.515430603E0,1.127904510E0
3.708599417E0,-1.017434235E0,-5.428760834E0,5.902226257E-1
3.718642417E0,-1.264121246E0,-5.191354523E0,7.783813477E-2
3.728686417E0,-1.512155457E0,-4.758305054E0,-5.102888489E-1
3.738729417E0,-1.639839935E0,-3.980522461E0,-6.619235229E-1
3.748772417E0,-1.756297760E0,-3.197949829E0,-6.945556641E-1
3.758815417E0,-1.824256439E0,-2.580184479E0,-8.457412720E-1
3.768859417E0,-1.855391693E0,-2.289339294E0,-1.165476379E0
3.778902417E0,-1.767075348E0,-2.146536255E0,-1.436712341E0
3.788945417E0,-1.627415771E0,-2.142494659E0,-1.681303711E0
3.798988417E0,-1.438658295E0,-2.440075836E0,-1.859433289E0
3.809031417E0,-1.225800934E0,-3.002755737E0,-2.391876068E0
3.819075417E0,-9.493258667E-1,-3.812871094E0,-3.411256256E0
3.829118417E0,-7.204518127E-1,-5.083279266E0,-4.381688232E0
3.839161417E0,-6.527925110E-1,-6.917864227E0,-5.094056854E0
3.849204417E0,-7.538323975E-1,-9.422006836E0,-5.946384430E0
3.859248417E0,-5.047503662E-1,-1.264465530E1,-6.451883240E0
3.869291417E0,-3.143463135E-3,-1.592867615E1,-7.176676025E0
3.879334417E0,5.902226257E-1,-1.858325592E1,-9.318422241E0
3.889377417E0,1.013991394E0,-1.943588287E1,-1.162437698E1
3.899420417E0,9.500743103E-1,-1.808718750E1,-1.108310257E1
3.909464417E0,2.101629639E-1,-1.506751694E1,-8.142617340E0
3.919507417E0,-9.331594849E-1,-1.142678787E1,-6.970854034E0
3.929550417E0,-1.847458191E0,-8.337811432E0,-6.987170105E0
3.939593417E0,-2.421065369E0,-6.061045990E0,-7.201674042E0
3.949636417E0,-2.637814636E0,-4.552932129E0,-6.798562317E0
3.959680417E0,-2.588716736E0,-3.481011200E0,-6.062692566E0
3.969723417E0,-2.342478790E0,-2.451601868E0,-5.651647339E0
3.979766417E0,-2.076332245E0,-1.763482819E0,-5.374274139E0
3.989809417E0,-2.663860474E0,-2.698588257E0,-5.908213806E0
3.999853417E0,-3.628454590E0,-5.633535004E0,-5.165608063E0
4.009896417E0,-4.183200989E0,-8.529712372E0,-2.192490692E0
4.019939417E0,-4.341272278E0,-1.081785416E1,-8.566685486E-1
4.029982417E0,-5.208718414E0,-1.614797012E1,-9.246272278E-1
4.040025417E0,-7.273524628E0,-2.774196030E1,1.143172760E0
4.050069417E0,-7.308102722E0,-3.377725983E1,7.678731995E0
4.060112417E0,-5.728587341E0,-2.947969666E1,1.226339813E1
4.070155417E0,-4.230053558E0,-1.777254181E1,1.241937378E1
4.080198417E0,-2.911744995E0,-8.218060455E0,9.371711426E0
4.090242417E0,-2.004930725E0,-3.727548523E0,5.451064453E0
4.100285417E0,-5.944139099E-1,-1.789828033E0,2.160756683E0
4.110328417E0,7.038363647E-1,-1.788480835E0,1.060394897E0
4.120371417E0,1.424886932E0,-2.869083710E0,1.700613556E0
4.130414417E0,1.914518738E0,-4.174219666E0,2.192191315E0
4.140458417E0,2.075583801E0,-5.688919830E0,1.610500946E0
4.150501417E0,2.165995789E0,-7.409292297E0,2.640509033E-1
4.160544417E0,2.386936340E0,-9.318571930E0,-1.051413574E0
4.170587417E0,2.343975677E0,-1.118998032E1,-2.141746216E0
4.180630417E0,1.290915527E0,-1.201805832E1,-3.378324738E0
4.190674417E0,-5.101391602E-1,-1.143202698E1,-3.662134552E0
4.200717417E0,-1.618584137E0,-1.025697052E1,-1.807491302E0
4.210763917E0,-1.937870178E0,-8.993897095E0,-1.811233521E-2
4.220806917E0,-1.607956238E0,-8.183781738E0,7.541317749E-1
4.230850917E0,-1.252894592E0,-7.977810059E0,1.104702759E0
4.240893917E0,-5.580395508E-1,-8.161627808E0,1.342857513E0
4.250936917E0,3.065625000E-1,-8.363557892E0,1.197509766E0
4.260979917E0,1.043629761E0,-8.384813690E0,6.012995911E-1
4.271022917E0,1.596130829E0,-8.469836884E0,-3.079096985E-1
4.281066917E0,2.123783569E0,-8.755892029E0,-8.649014282E-1
4.291109917E0,2.621049500E0,-9.291478271E0,-6.289920044E-1
